,관측일자,지점명,평균기온(℃),최저기온(℃),최대기온(℃),평균습도(%),최저습도(%),최고습도(%),평균풍속(m/s),최대풍속(m/s),강수량(mm),lat,long,spot_num
214,20180101.0,동대문,-0.100000001490116,-4.09999990463257,3.79999995231628,44.5,27.7999992370605,61.0999984741211,1.5,4.80000019073486,0.0,37.5846,127.0604,D-08
215,20180102.0,동대문,-0.699999988079071,-3.09999990463257,3.09999990463257,45.7000007629395,22.6000003814697,71.5999984741211,1.70000004768372,4.69999980926514,0.0,37.5846,127.0604,D-08
216,20180103.0,동대문,-3.09999990463257,-5.5,0.0,41.0999984741211,31.6000003814697,52.2999992370605,1.79999995231628,5.19999980926514,0.0,37.5846,127.0604,D-08
217,20180104.0,동대문,-3.59999990463257,-7.0,-0.899999976158142,45.9000015258789,36.4000015258789,56.0999984741211,1.29999995231628,3.79999995231628,0.0,37.5846,127.0604,D-08
218,20180105.0,동대문,-1.79999995231628,-4.0,1.70000004768372,52.2000007629395,38.7999992370605,62.2999992370605,1.70000004768372,5.80000019073486,0.0,37.5846,127.0604,D-08
219,20180106.0,동대문,-3.20000004768372,-6.0,1.79999995231628,54.7999992370605,31.8999996185303,67.5999984741211,1.29999995231628,4.09999990463257,0.0,37.5846,127.0604,D-08
220,20180109.0,동대문,-3.09999990463257,-5.5,-0.5,57.4000015258789,47.0999984741211,82.4000015258789,2.70000004768372,9.19999980926514,0.0,37.5846,127.0604,D-08
221,20180110.0,동대문,-6.09999990463257,-9.30000019073486,-3.79999995231628,49.9000015258789,31.5,83.4000015258789,2.59999990463257,8.19999980926514,0.0,37.5846,127.0604,D-08
222,20180111.0,동대문,-10.1000003814697,-12.3999996185303,-7.30000019073486,49.7000007629395,39.4000015258789,58.9000015258789,2.59999990463257,6.30000019073486,0.0,37.5846,127.0604,D-08
223,20180112.0,동대문,-9.60000038146973,-13.6000003814697,-5.5,38.2999992370605,25.2000007629395,52.4000015258789,1.79999995231628,4.59999990463257,0.0,37.5846,127.0604,D-08
224,20180113.0,동대문,-4.30000019073486,-6.69999980926514,-1.20000004768372,67.0999984741211,36.5,82.5999984741211,1.39999997615814,3.09999990463257,0.0,37.5846,127.0604,D-08
225,20180114.0,동대문,-0.699999988079071,-4.30000019073486,4.59999990463257,71.4000015258789,56.2000007629395,82.0,1.79999995231628,4.30000019073486,0.0,37.5846,127.0604,D-08
226,20180115.0,동대문,5.09999990463257,2.79999995231628,8.10000038146973,63.0999984741211,35.7000007629395,88.4000015258789,1.20000004768372,5.40000009536743,0.0,37.5846,127.0604,D-08
227,20180116.0,동대문,3.79999995231628,0.800000011920929,7.0,62.0,36.5,71.0,1.20000004768372,3.40000009536743,0.0,37.5846,127.0604,D-08
228,20180117.0,동대문,5.19999980926514,3.09999990463257,8.39999961853027,67.0,55.4000015258789,75.4000015258789,1.5,5.40000009536743,0.0,37.5846,127.0604,D-08
229,20180118.0,동대문,3.5,1.60000002384186,5.5,59.2000007629395,25.3999996185303,83.5,1.5,4.19999980926514,0.0,37.5846,127.0604,D-08
230,20180119.0,동대문,2.20000004768372,-0.899999976158142,6.30000019073486,42.2999992370605,25.3999996185303,64.9000015258789,1.20000004768372,4.19999980926514,0.0,37.5846,127.0604,D-08
231,20180120.0,동대문,3.0,-0.600000023841858,6.90000009536743,58.2000007629395,42.0,67.5,1.39999997615814,4.80000019073486,0.0,37.5846,127.0604,D-08
232,20180121.0,동대문,1.60000002384186,-2.20000004768372,5.59999990463257,40.9000015258789,21.1000003814697,63.4000015258789,1.39999997615814,4.90000009536743,0.0,37.5846,127.0604,D-08
233,20180122.0,동대문,0.899999976158142,-4.30000019073486,4.59999990463257,58.5999984741211,34.5,94.4000015258789,1.20000004768372,5.30000019073486,4.0,37.5846,127.0604,D-08
234,20180123.0,동대문,-10.3999996185303,-13.8999996185303,-4.09999990463257,43.2999992370605,29.2999992370605,71.6999969482422,0.0,0.0,0.0,37.5846,127.0604,D-08
235,20180124.0,동대문,-13.1000003814697,-15.1000003814697,-9.60000038146973,32.7999992370605,25.8999996185303,43.4000015258789,1.60000002384186,6.80000019073486,0.0,37.5846,127.0604,D-08
236,20180125.0,동대문,-13.0,-15.3000001907349,-9.30000019073486,35.2000007629395,26.5,42.2000007629395,2.40000009536743,6.30000019073486,0.0,37.5846,127.0604,D-08
237,20180126.0,동대문,-13.6999998092651,-16.8999996185303,-9.69999980926514,36.7999992370605,28.7000007629395,42.7999992370605,2.29999995231628,5.09999990463257,0.0,37.5846,127.0604,D-08
238,20180127.0,동대문,-9.69999980926514,-15.6000003814697,-3.5,40.5999984741211,25.6000003814697,57.5999984741211,1.5,4.0,0.0,37.5846,127.0604,D-08
239,20180128.0,동대문,-5.0,-7.40000009536743,-0.699999988079071,37.0999984741211,22.0,49.4000015258789,2.0,6.19999980926514,0.0,37.5846,127.0604,D-08
240,20180129.0,동대문,-7.19999980926514,-9.5,-4.59999990463257,35.9000015258789,23.2000007629395,48.5999984741211,2.29999995231628,7.69999980926514,0.0,37.5846,127.0604,D-08
241,20180130.0,동대문,-5.19999980926514,-11.1000003814697,-0.899999976158142,61.7000007629395,31.7999992370605,92.1999969482422,1.20000004768372,5.40000009536743,1.5,37.5846,127.0604,D-08
242,20180131.0,동대문,-1.20000004768372,-3.5,0.800000011920929,55.5999984741211,27.5,85.5999984741211,1.20000004768372,4.19999980926514,0.5,37.5846,127.0604,D-08
