index,spot_num,spot_nm,Latitude,Longitude,,,,,,,,,,,,,,,,,,
130,D-48,올림픽로(종합운동장),37.51219773,127.0888281,,,,,,,,,,,,,,,,,,
131,D-49,올림픽로(잠실3사거리~잠실역),37.51247169,127.0959324,,,,,,,,,,,,,,,,,,
132,D-50,송파대로(석촌호수(롯데월드)~석촌호수),37.50885801,127.1070245,,,,,,,,,,,,,,,,,,
133,D-51,송파대로(잠실대교남단교차로~잠실역),37.51342065,127.1035128,,,,,,,,,,,,,,,,,,
134,D-52,잠실로(석촌호수(롯데월드)~KT송파지사),37.51051242,127.1007262,,,,,,,,,,,,,,,,,,
135,D-53,석촌호수로(신천역~잠실학원사거리),37.51172029,127.0886239,,,,,,,,,,,,,,,,,,
136,D-54,석촌호수로(방이삼거리-&gt;석촌호수),37.50958767,127.1072857,,,,,,,,,,,,,,,,,,
137,D-55,석촌호수로(석촌호(서호)-&gt;잠실학원사거리),37.50808534,127.093314,,,,,,,,,,,,,,,,,,
138,D-56,석촌호수로(석촌호(서호)-&gt;석촌호수),37.50942541,127.1073647,,,,,,,,,,,,,,,,,,
139,D-58,삼전로(잠실학원사거리-&gt;잠실트리지움),37.51097565,127.0961907,,,,,,,,,,,,,,,,,,
140,D-59,삼학사로(서울놀이마당앞-&gt;석촌호(서호)),37.50698055,127.100156,,,,,,,,,,,,,,,,,,
141,D-60,송파대로(석촌호수-&gt;석촌역),37.50577309,127.1105267,,,,,,,,,,,,,,,,,,
142,D-61,송파대로(잠실대교남단-&gt;잠실대교남단교차로),37.51637821,127.1012089,,,,,,,,,,,,,,,,,,
143,D-62,신천로(올림픽회관-&gt;잠실파크리오아파트),37.5198028,127.1110672,,,,,,,,,,,,,,,,,,
144,D-63,신천로(잠실나루역-&gt;잠실대교남단교차로),37.5164597,127.1007452,,,,,,,,,,,,,,,,,,
145,D-64,신천로(잠실나루역-&gt;잠실대교남단교차로),37.51851001,127.1056917,,,,,,,,,,,,,,,,,,
146,D-65,신천로(잠실나루역-&gt;잠실파크리오아파트),37.51980286,127.1109994,,,,,,,,,,,,,,,,,,
147,D-66,신천로(잠실대교남단교차로-&gt;잠실나루역),37.51840182,127.1057594,,,,,,,,,,,,,,,,,,
148,D-67,신천로(잠실파크리오아파트-&gt;올림픽회관),37.52076101,127.1174041,,,,,,,,,,,,,,,,,,
149,D-68,오금로(KT송파지사-&gt;송파구청),37.51618207,127.1091841,,,,,,,,,,,,,,,,,,
150,D-69,오금로(방이삼거리-&gt;KT송파지사),37.51433366,127.1104485,,,,,,,,,,,,,,,,,,
151,D-70,오금로(잠실나루역-&gt;송파구청),37.51575797,127.1098283,,,,,,,,,,,,,,,,,,
152,D-71,올림픽로(송파구청-&gt;몽촌토성역),37.51699917,127.1123642,,,,,,,,,,,,,,,,,,
153,D-72,올림픽로(올림픽회관-&gt;몽촌토성역),37.51768997,127.115612,,,,,,,,,,,,,,,,,,
154,D-73,올림픽로(잠실3사거리-&gt;신천역),37.51212613,127.0881493,,,,,,,,,,,,,,,,,,
155,D-74,올림픽로(잠실역-&gt;잠실3사거리),37.51251733,127.0951858,,,,,,,,,,,,,,,,,,
156,D-75,올림픽로(종합운동장-&gt;신천역),37.51211666,127.0887827,,,,,,,,,,,,,,,,,,
157,D-76,올림픽로35가길(올림픽35가사거리-&gt;홈플러스),37.51847394,127.1057256,,,,,,,,,,,,,,,,,,
158,D-77,잠실로(잠실3사거리-&gt;잠실트리지움),37.51066028,127.0961677,,,,,,,,,,,,,,,,,,
159,F-01,올림픽대로,37.50668419,126.9762636,,,,,,,,,,,,,,,,,,
160,F-02,강변북로,37.51756074,126.9771987,,,,,,,,,,,,,,,,,,
161,F-03,내부순환로,37.60934034,127.0018822,,,,,,,,,,,,,,,,,,
162,F-04,북부간선로,37.60905827,127.0555482,,,,,,,,,,,,,,,,,,
163,F-05,동부간선도로,37.57472978,127.0821409,,,,,,,,,,,,,,,,,,
164,F-06,경부고속도로,37.48934747,127.0267175,,,,,,,,,,,,,,,,,,
165,F-07,분당수서로,37.49812147,127.0901578,,,,,,,,,,,,,,,,,,
166,F-08,강남순환로(관악터널),37.43887854,126.9105835,,,,,,,,,,,,,,,,,,
167,F-09,서부간선도로,37.52140626,126.8847778,,,,,,,,,,,,,,,,,,
168,Y-53,잠실로(서울놀이마당앞~잠실트리지움),37.51089491,127.0957381,,,,,,,,,,,,,,,,,,
