index,spot_num,spot_nm,Latitude,Longitude,,,,,,,,,,,,,,,,,,
72,C-12,잠수교,37.50816,127.0029,,,,,,,,,,,,,,,,,,
73,C-13,한남대교,37.52747,127.0159,,,,,,,,,,,,,,,,,,
74,C-14,동호대교,37.53876,127.0224,,,,,,,,,,,,,,,,,,
75,C-15,성수대교,37.53742,127.0378,,,,,,,,,,,,,,,,,,
76,C-16,영동대교,37.53086,127.0603,,,,,,,,,,,,,,,,,,
77,C-17,청담대교,37.52598,127.0669,,,,,,,,,,,,,,,,,,
78,C-18,잠실대교,37.5246,127.0946,,,,,,,,,,,,,,,,,,
79,C-19,올림픽대교,37.53435,127.1069,,,,,,,,,,,,,,,,,,
80,C-20,천호대교,37.54322,127.1156,,,,,,,,,,,,,,,,,,
81,C-21,광진교,37.54471,127.1181,,,,,,,,,,,,,,,,,,
82,C-22,강동대교,37.5781,127.1644,,,,,,,,,,,,,,,,,,
83,D-01,진흥로(구기터널),37.6094,126.9575,,,,,,,,,,,,,,,,,,
84,D-02,평창문화로(북악터널),37.61202,126.9823,,,,,,,,,,,,,,,,,,
85,D-03,동호로(금호터널),37.55229,127.0163,,,,,,,,,,,,,,,,,,
86,D-04,서빙고로(한남역),37.52768,127.0075,,,,,,,,,,,,,,,,,,
87,D-05,천호대로(군자교),37.56132,127.0715,,,,,,,,,,,,,,,,,,
88,D-06,뚝섬로(용비교),37.54258,127.0234,,,,,,,,,,,,,,,,,,
89,D-07,동일로(군자교),37.55369,127.0732,,,,,,,,,,,,,,,,,,
90,D-08,화랑로(상월곡역),37.60428,127.0472,,,,,,,,,,,,,,,,,,
91,D-09,동소문로(길음교사거리),37.6004,127.0246,,,,,,,,,,,,,,,,,,
92,D-10,화랑로(화랑대역),37.62037,127.0856,,,,,,,,,,,,,,,,,,
93,D-11,도봉로(쌍문역),37.64622,127.0363,,,,,,,,,,,,,,,,,,
94,D-12,동부간선도로(월계1교),37.63312,127.067,,,,,,,,,,,,,,,,,,
95,D-13,동일로(노원역),37.65293,127.0635,,,,,,,,,,,,,,,,,,
96,D-14,증산로(디지털미디어시티역),37.58036,126.9082,,,,,,,,,,,,,,,,,,
97,D-15,통일로(산골고개정류장),37.59542,126.943,,,,,,,,,,,,,,,,,,
98,D-16,성산로(연희IC),37.56351,126.9342,,,,,,,,,,,,,,,,,,
99,D-17,연희로(연희IC),37.56656,126.9332,,,,,,,,,,,,,,,,,,
100,D-18,남부순환로(화곡로입구 교차로),,,,,,,,,,,,,,,,,,,,
101,D-19,남부순환로(신월IC),37.52453391,126.8391803,,,,,,,,,,,,,,,,,,
102,D-20,강서로(화곡터널),37.53499719,126.847962,,,,,,,,,,,,,,,,,,
103,D-21,공항대로(발산역),37.55979608,126.832746,,,,,,,,,,,,,,,,,,
104,D-22,경인로(오류IC),37.49899825,126.8538692,,,,,,,,,,,,,,,,,,
105,D-23,경인로(거리공원입구교차로),37.50694204,126.8872074,,,,,,,,,,,,,,,,,,
106,D-24,시흥대로(시흥IC),37.47740403,126.9013499,,,,,,,,,,,,,,,,,,
107,D-25,영등포로(오목교),37.52366222,126.88635,,,,,,,,,,,,,,,,,,
108,D-26,시흥대로(구로디지털단지역),37.48749526,126.9071821,,,,,,,,,,,,,,,,,,
109,D-27,제물포길(여의2교),37.52633243,126.9133007,,,,,,,,,,,,,,,,,,
110,D-28,경인로(서울교),37.52095122,126.918191,,,,,,,,,,,,,,,,,,
111,D-29,여의대방로(여의교),37.51760235,126.9307222,,,,,,,,,,,,,,,,,,
112,D-30,양녕로(상도터널),37.51138465,126.9562399,,,,,,,,,,,,,,,,,,
113,D-31,동작대로(총신대입구역),37.49495352,126.9857225,,,,,,,,,,,,,,,,,,
114,D-32,문성로(난곡터널),37.47961028,126.9271535,,,,,,,,,,,,,,,,,,
115,D-33,남부순환로(낙성대역),37.47837924,126.9652571,,,,,,,,,,,,,,,,,,
116,D-34,남부순환로(예술의전당),37.4770832,127.0070659,,,,,,,,,,,,,,,,,,
117,D-35,강남대로(강남역-신분당),37.49271614,127.0331648,,,,,,,,,,,,,,,,,,
118,D-36,사평대로(고속터미널역),37.50405993,127.0107105,,,,,,,,,,,,,,,,,,
119,D-37,반포대로(서초역),37.49678389,127.0084773,,,,,,,,,,,,,,,,,,
120,D-38,언주로(매봉터널),37.49294768,127.0503742,,,,,,,,,,,,,,,,,,
121,D-39,남부순환로(수서IC),37.49602182,127.0950375,,,,,,,,,,,,,,,,,,
122,D-40,헌릉로(세곡동사거리),37.46538637,127.1082857,,,,,,,,,,,,,,,,,,
123,D-41,노들로,37.53024323,126.912123,,,,,,,,,,,,,,,,,,
124,D-42,테헤란로(선릉역),37.50640909,127.055048,,,,,,,,,,,,,,,,,,
125,D-43,강남대로(신사역),37.51549829,127.0229814,,,,,,,,,,,,,,,,,,
126,D-44,백제고분로(종합운동장),37.51174341,127.0812824,,,,,,,,,,,,,,,,,,
127,D-45,송파대로(송파역),37.4877371,127.124772,,,,,,,,,,,,,,,,,,
128,D-46,올림픽로(송파구청~잠실역),37.5141411,127.1040228,,,,,,,,,,,,,,,,,,
129,D-47,올림픽로(몽촌토성역~올림픽회관),37.51877092,127.1159982,,,,,,,,,,,,,,,,,,
